0047: 1; 76, 13098420, 9968000, 9968;
0081: 3; 64, 11822196, 9975000, 9975;
0090: 10; 59, 10000152, 9954000, 9954;
0066: 1; 76, 11594690, 9954000, 9954;
0073: 1; 93, 15459166, 9996000, 9996;
0034: 4985532; 0, 10013042, 9945000, 9945;
0083: 114; 48, 9679680, 9936000, 9936;
0099: 3806642; 1, 10970902, 9945000, 9945;
0089: 206820; 14, 11243102, 9922000, 9922;
0039: 1; 74, 11811716, 9954000, 9954;
0058: 1; 74, 11152104, 9956000, 9956;
0029: 2544286; 3, 10069528, 9954000, 9954;
0053: 5; 63, 9308364, 9940000, 9940;
0030: 4577746; 0, 11760814, 9984000, 9984;
0086: 1; 71, 10944956, 9990000, 9990;
0014: 215; 45, 10283622, 9945000, 9945;
0087: 3; 66, 9318350, 9983000, 9983;
0042: 2772322; 3, 8384274, 9984000, 9984;
0041: 4415508; 0, 12572452, 9975000, 9975;
0040: 1; 98, 14126954, 9996000, 9996;
0061: 53561; 22, 3692364, 9984000, 9984;
0008: 1; 86, 12951884, 9918000, 9918;
0038: 2; 68, 9891986, 9940000, 9940;
0072: 4570; 31, 11597766, 9975000, 9975;
0057: 1; 77, 11469760, 9922000, 9922;
0020: 26; 54, 12900042, 9964000, 9964;
0023: 3454037; 1, 13071306, 9990000, 9990;
0051: 12; 58, 10475884, 9990000, 9990;
0046: 1; 90, 4142082, 9936000, 9936;
0095: 1; 83, 13394384, 9964000, 9964;
0098: 1; 84, 12451706, 9996000, 9996;
0082: 4510493; 0, 12107528, 9963000, 9963;
0067: 1; 71, 9696422, 9928000, 9928;
0074: 559107; 10, 9108618, 9996000, 9996;
0024: 8; 60, 9911068, 9982000, 9982;
0007: 1575007; 5, 10764996, 9940000, 9940;
0037: 1; 82, 7532156, 9945000, 9945;
0001: 5; 62, 11046608, 9966000, 9966;
0079: 4548326; 0, 11932112, 9954000, 9954;
0091: 1; 76, 11015032, 9954000, 9954;
0000: 50002; 20, 12982796, 9975000, 9975;
0011: 8126; 29, 9016254, 9928000, 9928;
0017: 11; 58, 13808876, 9996000, 9996;
0031: 10; 59, 9610070, 9936000, 9936;
0092: 1; 91, 12189010, 9975000, 9975;
0018: 4028976; 1, 9828162, 9928000, 9928;
0027: 1; 81, 9542368, 9975000, 9975;
0096: 1; 69, 10560738, 9936000, 9936;
0044: 1; 75, 12700894, 9954000, 9954;
0004: 1; 79, 12739688, 9963000, 9963;
0052: 1; 79, 11147940, 10000000, 10000;
0056: 22649; 24, 10754968, 9996000, 9996;
0068: 1; 79, 7508494, 9960000, 9960;
0003: 5262583; 0, 8959076, 9943000, 9943;
0070: 1; 74, 12669644, 9956000, 9956;
0002: 1; 83, 14491650, 9968000, 9968;
0035: 16; 57, 9189860, 9960000, 9960;
0065: 1; 89, 12208214, 9951000, 9951;
0049: 1693124; 5, 9257584, 9996000, 9996;
0028: 1; 75, 12061238, 9956000, 9956;
0021: 15; 57, 10676126, 9982000, 9982;
0069: 1; 81, 12194020, 9922000, 9922;
0050: 1; 75, 11809230, 9945000, 9945;
0010: 4263022; 0, 13382540, 9975000, 9975;
0025: 4; 64, 6734760, 9945000, 9945;
0032: 4; 64, 10622700, 9940000, 9940;
0080: 1; 71, 12265212, 9922000, 9922;
0036: 3769618; 1, 11203314, 9919000, 9919;
0022: 29; 54, 10083644, 9982000, 9982;
0015: 1; 88, 12819424, 9951000, 9951;
0012: 3716430; 1, 11470040, 9956000, 9956;
0045: 1; 84, 8368868, 9918000, 9918;
0063: 2; 67, 14351530, 9964000, 9964;
0033: 16; 57, 9151354, 9960000, 9960;
0078: 1; 82, 12544204, 9976000, 9976;
0075: 1; 75, 12446176, 9963000, 9963;
0013: 4209899; 0, 13669540, 9984000, 9984;
0084: 10; 59, 9559692, 9983000, 9983;
0071: 6; 61, 11503166, 9919000, 9919;
0085: 1; 72, 10093260, 9975000, 9975;
0059: 2; 67, 8995718, 9996000, 9996;
0043: 94514; 17, 13750144, 9975000, 9975;
0054: 8; 60, 10731790, 9940000, 9940;
0097: 1; 83, 11647658, 9918000, 9918;
0077: 112; 47, 14837844, 9968000, 9968;
0055: 4540845; 0, 11926334, 9996000, 9996;
0019: 5; 63, 8855850, 9945000, 9945;
0048: 2; 68, 12731690, 9999000, 9999;
0094: 1; 70, 10098894, 9940000, 9940;
0060: 1; 91, 14045030, 9984000, 9984;
0005: 1; 89, 13946688, 9951000, 9951;
0006: 1; 86, 12935782, 9968000, 9968;
0026: 1; 72, 10323806, 9990000, 9990;
0088: 4481958; 0, 12220678, 9991000, 9991;
0062: 1; 70, 9476558, 9940000, 9940;
0009: 86; 50, 6731748, 9943000, 9943;
0076: 3425137; 1, 13280730, 9976000, 9976;
0093: 1; 96, 13543136, 9999000, 9999;
0064: 1; 73, 8346162, 9975000, 9975;
0016: 2050; 35, 9707732, 9984000, 9984;

TOTAL_SCORE: 77583674
AVELAGE_SCOR: 775836
AVELAGE_WA_CNT: 53
AVELAGE_P_COST: 11070784
AVELAGE_M_COST: 9961740
AVELAGE_M_CNT: 9961
TOTAL_EXP_SCORE: 1393.52666396626410944909
